population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,16,Philippines,3,Both,158,<20 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,2226.917378431963,2706.1614844757037,1659.8183804431878
1,All Population,1,Deaths,16,Philippines,3,Both,158,<20 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.030391230842811607,0.03656238907689513,0.02350235261787019
1,All Population,1,Deaths,16,Philippines,3,Both,158,<20 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,5.034421746688279,6.117855273592486,3.7523734966494255
1,All Population,1,Deaths,16,Philippines,3,Both,159,10-24 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,148.6234855496593,240.71638401280018,57.75571689721388
1,All Population,1,Deaths,16,Philippines,3,Both,159,10-24 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.0061030442607902195,0.009847420173579272,0.0023596074225376495
1,All Population,1,Deaths,16,Philippines,3,Both,159,10-24 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,0.44357892704896346,0.7184377014750274,0.1723766525691508
1,All Population,1,Deaths,16,Philippines,3,Both,160,85+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,5809.869893291663,7911.479133408939,4116.654423483625
1,All Population,1,Deaths,16,Philippines,3,Both,160,85+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08206529895215184,0.11046417263053009,0.05806342560969027
1,All Population,1,Deaths,16,Philippines,3,Both,160,85+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,1482.0569698392826,2018.1627139267412,1050.1296057917314
1,All Population,1,Deaths,16,Philippines,3,Both,162,10-19 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,93.97957298810708,150.52177663413738,36.88630403507945
1,All Population,1,Deaths,16,Philippines,3,Both,162,10-19 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.006923332261923354,0.011099256686039241,0.0026994104681945783
1,All Population,1,Deaths,16,Philippines,3,Both,162,10-19 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,0.4094065392906691,0.6557233417890049,0.16068911149592457
1,All Population,1,Deaths,16,Philippines,3,Both,169,10-54 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,8013.698166082125,10382.56427703749,5888.767366146185
1,All Population,1,Deaths,16,Philippines,3,Both,169,10-54 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.04671270493866444,0.06058206966574163,0.0344358947030578
1,All Population,1,Deaths,16,Philippines,3,Both,169,10-54 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,10.21447953412523,13.233901267757362,7.505984440156697
1,All Population,1,Deaths,16,Philippines,3,Both,197,15-39 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,1804.451777623835,2390.8094340245652,1244.0605529725487
1,All Population,1,Deaths,16,Philippines,3,Both,197,15-39 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.027228078226364257,0.036128007137464765,0.019182362799478707
1,All Population,1,Deaths,16,Philippines,3,Both,197,15-39 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,3.743745878035353,4.960278282184931,2.5810867461088103
1,All Population,1,Deaths,16,Philippines,3,Both,228,55+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,33804.68197083878,43990.04498646252,24946.196907245663
1,All Population,1,Deaths,16,Philippines,3,Both,228,55+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07846264811783715,0.10204715114681905,0.0582236804576443
1,All Population,1,Deaths,16,Philippines,3,Both,228,55+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,228.74342302905794,297.66389987298027,168.80142451991512
1,All Population,1,Deaths,16,Philippines,3,Both,231,60+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,30155.25545440766,39388.9093926272,22329.828073783825
1,All Population,1,Deaths,16,Philippines,3,Both,231,60+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07945106545345404,0.10345516281836051,0.05903068202875374
1,All Population,1,Deaths,16,Philippines,3,Both,231,60+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,291.67061980246814,380.9812731734495,215.98075347795182
1,All Population,1,Deaths,16,Philippines,3,Both,232,65-74 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,10696.560415247708,13784.148446070965,8006.435189337179
1,All Population,1,Deaths,16,Philippines,3,Both,232,65-74 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.0788204252930075,0.10095983363887148,0.05855544887591228
1,All Population,1,Deaths,16,Philippines,3,Both,232,65-74 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,232.99844598475124,300.2540108668459,174.4006376417956
1,All Population,1,Deaths,16,Philippines,3,Both,234,75+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,14918.09362695214,19885.595135767504,10880.586138537858
1,All Population,1,Deaths,16,Philippines,3,Both,234,75+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08127299447942801,0.10771319554939156,0.05981858637197171
1,All Population,1,Deaths,16,Philippines,3,Both,234,75+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,729.6548254948397,972.6189425728841,532.1773933536047
1,All Population,1,Deaths,16,Philippines,3,Both,235,95+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,432.63641766032464,620.518994337379,277.2847611782529
1,All Population,1,Deaths,16,Philippines,3,Both,235,95+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07988118865484188,0.11107604431513265,0.05380684785338863
1,All Population,1,Deaths,16,Philippines,3,Both,235,95+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,2501.2910946854936,3587.5357950977723,1603.124183530245
1,All Population,1,Deaths,16,Philippines,3,Both,238,12-23 months,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,112.76090693797052,182.3074378602227,45.4105862171612
1,All Population,1,Deaths,16,Philippines,3,Both,238,12-23 months,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.01854570579660991,0.02937761808499663,0.007274900045943677
1,All Population,1,Deaths,16,Philippines,3,Both,238,12-23 months,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,5.723788088806697,9.2539974150725,2.305059258156717
1,All Population,1,Deaths,16,Philippines,3,Both,243,75-84 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,9108.223733660483,11850.463480810764,6696.903582344952
1,All Population,1,Deaths,16,Philippines,3,Both,243,75-84 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08077460073725376,0.10585912226096214,0.0599386720421976
1,All Population,1,Deaths,16,Philippines,3,Both,243,75-84 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,551.1693432849812,717.1115208998214,405.2522267193457
1,All Population,1,Deaths,16,Philippines,3,Both,284,20-54 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,7919.71859309402,10219.56302504612,5800.36271068281
1,All Population,1,Deaths,16,Philippines,3,Both,284,20-54 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.05013066416314644,0.06504786666547652,0.03701953922360278
1,All Population,1,Deaths,16,Philippines,3,Both,284,20-54 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,14.26996280388586,18.413884600210586,10.45125014955284
1,All Population,1,Deaths,16,Philippines,3,Both,388,1-5 months,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,185.1042277040598,298.6909974338112,75.69502101382002
1,All Population,1,Deaths,16,Philippines,3,Both,388,1-5 months,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.020283840119195925,0.03166766571567464,0.008810543952352002
1,All Population,1,Deaths,16,Philippines,3,Both,388,1-5 months,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,22.408075103576582,36.158495061278636,9.163376422478576
1,All Population,1,Deaths,16,Philippines,3,Both,389,6-11 months,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,122.70301942273308,189.4241531081892,48.7996021852859
1,All Population,1,Deaths,16,Philippines,3,Both,389,6-11 months,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.01749650081914772,0.027250807496269798,0.006806824329563252
1,All Population,1,Deaths,16,Philippines,3,Both,389,6-11 months,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,12.636102369581414,19.5071237953814,5.025440871048998
1,All Population,1,Deaths,16,Philippines,3,Both,420,<70 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,23640.3405278146,30105.10570734635,17846.752842729973
1,All Population,1,Deaths,16,Philippines,3,Both,420,<70 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.05752263037467936,0.07378890863720097,0.04336917437429197
1,All Population,1,Deaths,16,Philippines,3,Both,420,<70 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,21.36708292843308,27.210195617160128,16.130607236608707
